year,age,sex,people
1950,0,1,8211806
1950,0,2,7862267
1950,5,1,6706601
1950,5,2,6450863
1950,10,1,5629744
1950,10,2,5430835
1950,15,1,5264129
1950,15,2,5288742
1950,20,1,5573308
1950,20,2,5854227
1950,25,1,6007254
1950,25,2,6317332
1950,30,1,5676022
1950,30,2,5895178
1950,35,1,5511364
1950,35,2,5696261
1950,40,1,5076985
1950,40,2,5199224
1950,45,1,4533177
1950,45,2,4595842
1950,50,1,4199164
1950,50,2,4147295
1950,55,1,3667351
1950,55,2,3595158
1950,60,1,3035038
1950,60,2,3009768
1950,65,1,2421234
1950,65,2,2548250
1950,70,1,1627920
1950,70,2,1786831
1950,75,1,1006530
1950,75,2,1148469
1950,80,1,511727
1950,80,2,637717
1950,85,1,182821
1950,85,2,242798
1950,90,1,54836
1950,90,2,90766
1960,0,1,10374975
1960,0,2,10146999
1960,5,1,9495503
1960,5,2,9250741
1960,10,1,8563700
1960,10,2,8310764
1960,15,1,6620902
1960,15,2,6617493
1960,20,1,5268384
1960,20,2,5513495
1960,25,1,5311805
1960,25,2,5548259
1960,30,1,5801342
1960,30,2,6090862
1960,35,1,6063063
1960,35,2,6431337
1960,40,1,5657943
1960,40,2,5940520
1960,45,1,5345658
1960,45,2,5516028
1960,50,1,4763364
1960,50,2,4928844
1960,55,1,4170581
1960,55,2,4402878
1960,60,1,3405293
1960,60,2,3723839
1960,65,1,2859371
1960,65,2,3268699
1960,70,1,2115763
1960,70,2,2516479
1960,75,1,1308913
1960,75,2,1641371
1960,80,1,619923
1960,80,2,856952
1960,85,1,253245
1960,85,2,384572
1960,90,1,75908
1960,90,2,135774
1970,0,1,8685121
1970,0,2,8326887
1970,5,1,10411131
1970,5,2,10003293
1970,10,1,10756403
1970,10,2,10343538
1970,15,1,9605399
1970,15,2,9414284
1970,20,1,7729202
1970,20,2,8341830
1970,25,1,6539301
1970,25,2,6903041
1970,30,1,5519879
1970,30,2,5851441
1970,35,1,5396732
1970,35,2,5708021
1970,40,1,5718538
1970,40,2,6129319
1970,45,1,5794120
1970,45,2,6198742
1970,50,1,5298312
1970,50,2,5783817
1970,55,1,4762911
1970,55,2,5222164
1970,60,1,4037643
1970,60,2,4577251
1970,65,1,3142606
1970,65,2,3894827
1970,70,1,2340826
1970,70,2,3138009
1970,75,1,1599269
1970,75,2,2293376
1970,80,1,886155
1970,80,2,1417553
1970,85,1,371123
1970,85,2,658511
1970,90,1,186502
1970,90,2,314929
1980,0,1,8439366
1980,0,2,8081854
1980,5,1,8680730
1980,5,2,8275881
1980,10,1,9452338
1980,10,2,9048483
1980,15,1,10698856
1980,15,2,10410271
1980,20,1,10486776
1980,20,2,10614947
1980,25,1,9624053
1980,25,2,9827903
1980,30,1,8705835
1980,30,2,8955225
1980,35,1,6852069
1980,35,2,7134239
1980,40,1,5692148
1980,40,2,5953910
1980,45,1,5342469
1980,45,2,5697543
1980,50,1,5603709
1980,50,2,6110117
1980,55,1,5485098
1980,55,2,6160229
1980,60,1,4696140
1980,60,2,5456885
1980,65,1,3893510
1980,65,2,4896947
1980,70,1,2857774
1980,70,2,3963441
1980,75,1,1840438
1980,75,2,2951759
1980,80,1,1012886
1980,80,2,1919292
1980,85,1,472338
1980,85,2,1023115
1980,90,1,204148
1980,90,2,499046
1990,0,1,9307465
1990,0,2,8894007
1990,5,1,9274732
1990,5,2,8799955
1990,10,1,8782542
1990,10,2,8337284
1990,15,1,9020572
1990,15,2,8590991
1990,20,1,9436188
1990,20,2,9152644
1990,25,1,10658027
1990,25,2,10587292
1990,30,1,11028712
1990,30,2,11105750
1990,35,1,9853933
1990,35,2,10038644
1990,40,1,8712632
1990,40,2,8928252
1990,45,1,6848082
1990,45,2,7115129
1990,50,1,5553992
1990,50,2,5899925
1990,55,1,4981670
1990,55,2,5460506
1990,60,1,4953822
1990,60,2,5663205
1990,65,1,4538398
1990,65,2,5594108
1990,70,1,3429420
1990,70,2,4610222
1990,75,1,2344932
1990,75,2,3723980
1990,80,1,1342996
1990,80,2,2545730
1990,85,1,588790
1990,85,2,1419494
1990,90,1,238459
1990,90,2,745146
2000,0,1,9735380
2000,0,2,9310714
2000,5,1,10552146
2000,5,2,10069564
2000,10,1,10563233
2000,10,2,10022524
2000,15,1,10237419
2000,15,2,9692669
2000,20,1,9731315
2000,20,2,9324244
2000,25,1,9659493
2000,25,2,9518507
2000,30,1,10205879
2000,30,2,10119296
2000,35,1,11475182
2000,35,2,11635647
2000,40,1,11320252
2000,40,2,11488578
2000,45,1,9925006
2000,45,2,10261253
2000,50,1,8507934
2000,50,2,8911133
2000,55,1,6459082
2000,55,2,6921268
2000,60,1,5123399
2000,60,2,5668961
2000,65,1,4453623
2000,65,2,4804784
2000,70,1,3792145
2000,70,2,5184855
2000,75,1,2912655
2000,75,2,4355644
2000,80,1,1902638
2000,80,2,3221898
2000,85,1,970357
2000,85,2,1981156
2000,90,1,336303
2000,90,2,1064581
